index,name,category
c1,[토이게이트] 람보르기니 베네노 도어오픈 레드 RC카,car
c2,자동차 자동 변신로봇 RC카 변신카 장난감 부가티 블루,car
c3,RC HUINA 합금포크레인 불도저 중장비 트럭,car
d1,[미미월드] 미미 - 놀러와 미미 이층집  슈슈 소품 욕조 강아지,doll
d2,나혼자산다 윌슨베이비 후디,doll
d3,몽e베어 대형 곰인형 나혼자산다 윌슨 어린이날 인형,doll
e1,10색마카증정 자석칠판 칼라보드 화이트보드,education
e2,러닝리소스 알파벳 자석글자 LER7725 알파벳자석교구,education
e3,콩순이 노래하는 칼라보드콩순이노래 수록4가지색상,education
f1,[타카라토미] 포켓몬스터 피규어 썬문 EX 피카츄 제라오라 몬스터볼,figure
f2,어벤져스 아이언맨 피규어 16cm,figure
f3,원피스 반프레스토 정품 피규어,figure
g1,[마이크로소프트] 한국정품 XBOX One X 1TB,game
g2,[플레이스테이션4] PS4 본체 프로 1TB  PS4 PRO 블랙 + 듀얼쇼크4 블랙,game
g3,닌텐도 Nintendo Switch 닌텐도 스위치 네온블루 레드,game
l1,슈퍼 제이맥,lego
l2,76126 어벤져스 얼티밋 퀸젯,lego
l3,프렌즈 41365 엠마의 아트 스튜디오,lego
p1,SD건담 BB전사 EX스탠다드,plasticModel
p2,베이블레이드 버스트 갓 초제트 일본판,plasticModel
p3,RG건담 1/144 프라모델,plasticModel
s1,가가-금메달 공기권총안전사격다트,sprot
s2,야광 통통 슈퍼볼,sprot
s3,코코몽 펀치백,sprot
r1,[손오공] 헬로카봇 에이샤크 / 상어 변신로봇/ 손오공,robot
r2,큐팬 슬롯레이싱카 자동차 미니카 장난감 트랙 2인용,robot
r3,타요 변신 운전놀이,robot